record_id,timestamp,intersection_id,intersection_name,latitude,longitude,vehicle_count,average_speed,signal_cycle_time,green_time,yellow_time,red_time,weather_condition,day_of_week,is_holiday,event,pollution_level,car_count,bus_count,truck_count,motorcycle_count,is_weekend,hour_of_day
1267,2023-01-01 21:00:00,7,Phaphamau,25.4945,81.8686,91.0,34.97,120,66,4,50,Clear,Sunday,1,0,1.73,58,9,7,21,1,21
2552,2023-01-02 18:30:00,2,Katra,25.455,81.8463,82.0,33.21,120,58,5,57,Light Rain,Monday,0,0,1.78,48,8,12,14,0,18
4173,2023-01-03 21:30:00,3,Chowk,25.4314,81.8437,95.0,36.14,120,57,4,59,Clear,Tuesday,0,0,1.94,60,11,8,16,0,21
4503,2023-01-04 03:00:00,3,Chowk,25.4314,81.8437,85.0,35.17,120,68,4,48,Heatwave,Wednesday,0,0,1.74,50,10,7,18,0,3
3453,2023-01-03 09:30:00,3,Chowk,25.4314,81.8437,210.0,17.47,120,78,3,39,Heavy Rain,Tuesday,0,0,4.79,122,28,24,36,0,9
993,2023-01-01 16:30:00,3,Chowk,25.4314,81.8437,43.0,31.42,120,65,2,53,Heavy Rain,Sunday,1,0,0.83,27,4,4,8,1,16
1713,2023-01-02 04:30:00,3,Chowk,25.4314,81.8437,39.0,46.79,120,54,5,61,Clear,Monday,0,0,0.94,21,5,6,7,0,4
8608,2023-01-06 23:20:00,8,Jhunsi,25.4326,81.9061,97.0,35.69,120,63,4,53,Clear,Friday,0,0,1.92,62,11,7,17,0,23
8964,2023-01-07 05:20:00,4,Tagore Town,25.4675,81.8867,70.0,37.11,120,64,4,52,Heatwave,Saturday,0,0,1.28,47,5,7,11,1,5
6271,2023-01-07 00:10:00,6,Allahabad Junction,25.4358,81.8307,80.0,39.58,120,58,4,58,Clear,Saturday,0,0,1.73,49,8,11,12,1,0
7707,2023-01-06 08:20:00,7,Phaphamau,25.4945,81.8686,353.0,10.64,120,77,6,37,Clear,Friday,0,2,6.82,212,35,30,76,0,8
3537,2023-01-03 10:50:00,7,Phaphamau,25.4945,81.8686,164.0,20.35,120,82,4,34,Heavy Rain,Tuesday,0,0,3.7,65,24,14,26,0,10
8604,2023-01-06 23:20:00,4,Tagore Town,25.4675,81.8867,159.0,31.2,120,83,4,33,Clear,Friday,0,3,3.03,102,14,15,28,0,23
9092,2023-01-07 07:30:00,2,Katra,25.455,81.8463,238.0,23.83,120,77,5,38,Cold Wave,Saturday,0,0,4.54,153,25,16,44,1,7
1910,2023-01-02 07:40:00,10,Minto Park,25.4352,81.882,216.0,25.88,120,84,5,31,Clear,Monday,0,0,4.14,129,20,20,47,0,7
7483,2023-01-06 04:40:00,3,Chowk,25.4314,81.8437,238.0,12.18,120,79,4,36,Clear,Friday,0,2,2.2610659898477157,135,27,25,51,0,4
8701,2023-01-07 01:00:00,1,Civil Lines,25.4486,81.8333,180.0,13.47,120,85,6,29,Clear,Saturday,0,4,3.49,117,11,26,26,1,1
9396,2023-01-07 12:30:00,6,Allahabad Junction,25.4358,81.8307,59.0,43.69,120,52,5,63,Clear,Saturday,0,0,1.0,38,5,3,13,1,12
6147,2023-01-05 06:20:00,7,Phaphamau,25.4945,81.8686,52.0,45.69,120,58,6,56,Clear,Thursday,0,0,1.24,31,7,7,7,0,6
2173,2023-01-02 12:10:00,3,Chowk,25.4314,81.8437,112.0,31.48,120,71,3,46,Cold Wave,Monday,0,0,2.34,67,14,9,22,0,12
6647,2023-01-05 14:40:00,7,Phaphamau,25.4945,81.8686,56.0,38.53,120,55,3,51,Clear,Thursday,0,0,1.11,34,7,3,12,0,14
5095,2023-01-04 12:50:00,5,Naini Bridge,25.4088,81.8592,153.0,15.1,120,79,3,38,Clear,Wednesday,0,4,2.66,96,10,14,33,0,12
517,2023-01-01 08:30:00,7,Phaphamau,25.4945,81.8686,108.0,33.46,120,58,4,58,Clear,Sunday,1,0,2.05,75,8,12,13,1,8
2371,2023-01-02 15:30:00,1,Civil Lines,25.4486,81.8333,118.0,29.87,120,62,4,54,Clear,Monday,0,0,2.82,60,17,15,26,0,15
7843,2023-01-06 10:40:00,3,Chowk,25.4314,81.8437,88.0,37.52,120,53,4,63,Clear,Friday,0,3,1.73,59,8,9,12,0,10
9992,2023-01-07 22:30:00,2,Katra,25.455,81.8463,56.0,33.75,120,64,4,52,Fog,Saturday,0,0,1.03,33,4,6,13,1,22
1927,2023-01-02 08:00:00,7,Phaphamau,25.4945,81.8686,178.0,30.59,120,77,4,39,Clear,Monday,0,0,3.32,111,14,18,35,0,8
4490,2023-01-04 02:40:00,10,Minto Park,25.4352,81.882,106.0,33.36,120,55,3,62,Clear,Wednesday,0,0,1.92,62,10,7,27,0,2
6527,2023-01-05 12:40:00,7,Phaphamau,25.4945,81.8686,155.0,14.45,120,77,3,40,Clear,Thursday,0,2,3.16,95,16,16,28,0,12
3921,2023-01-03 17:20:00,1,Civil Lines,25.4486,81.8333,203.0,25.86,120,73,4,43,Clear,Tuesday,0,0,3.91,118,21,16,48,0,17
856,2023-01-01 14:10:00,6,Allahabad Junction,25.4358,81.8307,35.0,40.34,120,61,3,56,Fog,Sunday,1,0,0.51,28,2,1,4,1,14
1859,2023-01-02 06:50:00,9,MNNIT Gate,25.492,81.8639,151.0,32.35,120,73,4,43,Clear,Monday,0,0,3.03,96,17,12,26,0,6
5485,2023-01-04 19:20:00,5,Naini Bridge,25.4088,81.8592,194.0,24.33,120,80,5,35,Light Rain,Wednesday,0,0,3.96,113,19,22,40,0,19
5473,2023-01-04 19:10:00,3,Chowk,25.4314,81.8437,240.0,23.13,120,88,2,30,Clear,Wednesday,0,0,4.76,153,25,21,41,0,19
2290,2023-01-02 14:00:00,10,Minto Park,25.4352,81.882,47.0,41.4,120,62,4,54,Heatwave,Monday,0,0,1.12,25,8,4,10,0,14
9611,2023-01-07 16:10:00,1,Civil Lines,25.4486,81.8333,84.0,38.58,120,60,7,53,Clear,Saturday,0,0,1.65,48,7,10,19,1,16
1144,2023-01-01 19:00:00,4,Tagore Town,25.4675,81.8867,78.0,39.75,120,58,4,58,Clear,Sunday,1,0,1.42,46,5,9,18,1,19
5545,2023-01-04 20:20:00,5,Naini Bridge,25.4088,81.8592,221.0,24.83,120,84,6,30,Clear,Wednesday,0,0,4.31,132,18,26,45,0,20
6884,2023-01-05 18:40:00,4,Tagore Town,25.4675,81.8867,86.0,37.75,120,66,5,49,Clear,Thursday,0,0,1.93,58,10,11,7,0,18
520,2023-01-01 08:30:00,10,Minto Park,25.4352,81.882,84.0,33.22,120,50,5,65,Clear,Sunday,1,0,1.68,49,5,14,16,1,8
8098,2023-01-06 14:50:00,8,Jhunsi,25.4326,81.9061,151.0,30.99,120,81,7,32,Clear,Friday,0,0,3.22,99,19,13,20,0,14
8152,2023-01-06 15:50:00,2,Katra,25.455,81.8463,111.0,33.88,120,64,5,51,Clear,Friday,0,0,2.32,70,10,15,16,0,15
8142,2023-01-06 15:40:00,2,Katra,25.455,81.8463,96.0,37.39,120,56,3,61,Clear,Friday,0,0,1.97,54,9,12,21,0,15
9617,2023-01-07 16:10:00,7,Phaphamau,25.4945,81.8686,96.0,17.89,120,63,6,51,Clear,Saturday,0,2,1.95,58,11,8,19,1,16
8902,2023-01-07 04:20:00,2,Katra,25.455,81.8463,76.0,36.22,120,62,4,54,Light Rain,Saturday,0,0,1.9,40,12,10,14,1,4
8957,2023-01-07 05:10:00,7,Phaphamau,25.4945,81.8686,77.0,40.74,120,62,4,54,Clear,Saturday,0,0,1.57,49,11,3,14,1,5
3337,2023-01-03 07:30:00,7,Phaphamau,25.4945,81.8686,195.0,27.06,120,76,4,40,Clear,Tuesday,0,0,3.25,131,9,20,35,0,7
7694,2023-01-06 08:10:00,4,Tagore Town,25.4675,81.8867,211.0,26.34,120,75,4,41,Heatwave,Friday,0,3,4.22,129,23,18,41,0,8
881,2023-01-01 14:40:00,1,Civil Lines,25.4486,81.8333,45.0,42.43,120,51,4,65,Cold Wave,Sunday,1,1,0.7,30,3,2,10,1,14
8145,2023-01-06 15:40:00,5,Naini Bridge,25.4088,81.8592,123.0,32.16,120,62,6,52,Clear,Friday,0,0,2.75,78,16,13,16,0,15
3206,2023-01-03 05:20:00,6,Allahabad Junction,25.4358,81.8307,134.0,30.6,120,63,6,51,Clear,Tuesday,0,0,2.34,93,10,10,21,0,5
7421,2023-01-06 03:40:00,1,Civil Lines,25.4486,81.8333,55.0,44.59,120,60,5,55,Clear,Friday,0,0,1.14,35,7,4,9,0,3
1447,2023-01-02 00:00:00,7,Phaphamau,25.4945,81.8686,47.0,43.55,120,55,4,61,Clear,Monday,0,0,1.11,26,9,2,10,0,0
951,2023-01-01 15:50:00,1,Civil Lines,25.4486,81.8333,58.0,37.62,120,62,4,54,Clear,Sunday,1,1,1.38,35,7,9,7,1,15
7143,2023-01-05 23:00:00,3,Chowk,25.4314,81.8437,49.0,38.98,120,47,5,68,Light Rain,Thursday,0,0,0.88,26,6,1,16,0,23
8124,2023-01-06 15:20:00,4,Tagore Town,25.4675,81.8867,128.0,31.87,120,66,6,48,Clear,Friday,0,3,2.19,85,10,8,25,0,15
8857,2023-01-07 03:30:00,7,Phaphamau,25.4945,81.8686,59.0,28.34,120,55,5,60,Heavy Rain,Saturday,0,0,1.21,40,8,3,8,1,3
9878,2023-01-07 20:30:00,8,Jhunsi,25.4326,81.9061,223.0,26.08,120,86,5,29,Clear,Saturday,0,0,4.18,141,18,22,42,1,20
5486,2023-01-04 19:20:00,6,Allahabad Junction,25.4358,81.8307,111.0,28.91,120,66,5,49,Light Rain,Wednesday,0,0,2.22,67,8,16,20,0,19
1248,2023-01-01 20:40:00,8,Jhunsi,25.4326,81.9061,52.0,42.35,120,53,5,62,Clear,Sunday,1,0,0.74,34,2,3,13,1,20
7920,2023-01-06 11:50:00,10,Minto Park,25.4352,81.882,141.0,29.25,120,55,5,60,Clear,Friday,0,0,2.53,97,10,13,22,0,11
9572,2023-01-07 15:30:00,2,Katra,25.455,81.8463,67.0,27.55,120,53,4,63,Heavy Rain,Saturday,0,0,1.56,40,11,5,11,1,15
5077,2023-01-04 12:30:00,7,Phaphamau,25.4945,81.8686,164.0,29.31,120,66,6,48,Clear,Wednesday,0,0,3.39,93,16,20,35,0,12
41,2023-01-01 00:40:00,1,Civil Lines,25.4486,81.8333,64.0,38.84,120,60,7,53,Light Rain,Sunday,1,1,1.24,38,8,3,15,1,0
1658,2023-01-02 03:30:00,8,Jhunsi,25.4326,81.9061,144.0,29.51,120,57,4,59,Clear,Monday,0,0,3.09,86,19,12,27,0,3
6129,2023-01-04 13:10:00,5,Naini Bridge,25.4088,81.8592,178.0,13.77,120,84,5,31,Cold Wave,Wednesday,0,4,3.37,113,14,19,32,0,13
7501,2023-01-06 05:00:00,1,Civil Lines,25.4486,81.8333,43.0,37.58,120,62,5,53,Fog,Friday,0,0,0.73,23,2,5,13,0,5
1932,2023-01-02 08:10:00,2,Katra,25.455,81.8463,149.0,29.48,120,56,5,59,Clear,Monday,0,0,3.13,83,16,17,33,0,8
7648,2023-01-06 07:20:00,8,Jhunsi,25.4326,81.9061,172.0,29.76,120,75,6,39,Clear,Friday,0,0,3.53,98,22,12,40,0,7
7748,2023-01-06 09:00:00,8,Jhunsi,25.4326,81.9061,171.0,28.8,120,81,4,35,Clear,Friday,0,0,3.61,108,21,15,27,0,9
3085,2023-01-03 03:20:00,5,Naini Bridge,25.4088,81.8592,99.0,35.09,120,61,4,55,Clear,Tuesday,0,0,1.92,61,12,5,21,0,3
7381,2023-01-06 03:00:00,1,Civil Lines,25.4486,81.8333,139.0,28.65,120,68,4,48,Clear,Friday,0,0,2.97,79,20,9,31,0,3
7724,2023-01-06 08:40:00,4,Tagore Town,25.4675,81.8867,218.0,25.88,120,79,4,37,Clear,Friday,0,3,4.34,130,17,29,42,0,8
9822,2023-01-07 19:40:00,2,Katra,25.455,81.8463,187.0,27.34,120,85,4,31,Clear,Saturday,0,0,3.32,115,11,21,40,1,19
4686,2023-01-04 06:00:00,6,Allahabad Junction,25.4358,81.8307,75.0,38.93,120,63,4,53,Clear,Wednesday,0,0,1.54,45,9,6,15,0,6
5161,2023-01-04 14:00:00,1,Civil Lines,25.4486,81.8333,74.0,31.6,120,64,5,51,Light Rain,Wednesday,0,0,1.03,50,2,5,17,0,14
10,2023-01-01 00:00:00,10,Minto Park,25.4352,81.882,77.0,39.83,120,60,5,55,Clear,Sunday,1,0,1.44,46,6,8,17,1,0
7078,2023-01-05 21:50:00,8,Jhunsi,25.4326,81.9061,45.0,44.44,120,56,5,59,Clear,Thursday,0,0,0.95,26,5,5,9,0,21
8700,2023-01-07 00:50:00,10,Minto Park,25.4352,81.882,83.0,34.94,120,60,4,56,Clear,Saturday,0,0,1.64,54,8,8,13,1,0
7031,2023-01-05 21:10:00,1,Civil Lines,25.4486,81.8333,62.0,41.44,120,63,5,52,Clear,Thursday,0,0,1.27,39,8,4,11,0,21
973,2023-01-01 16:10:00,3,Chowk,25.4314,81.8437,48.0,43.67,120,63,6,61,Clear,Sunday,1,0,0.95,27,4,6,11,1,16
978,2023-01-01 16:10:00,8,Jhunsi,25.4326,81.9061,73.0,40.13,120,54,5,61,Clear,Sunday,1,0,1.42,40,7,7,19,1,16
603,2023-01-01 10:00:00,3,Chowk,25.4314,81.8437,93.0,27.85,120,58,5,57,Fog,Sunday,1,0,2.06,53,15,5,20,1,10
307,2023-01-01 05:00:00,7,Phaphamau,25.4945,81.8686,83.0,35.21,120,64,6,50,Clear,Sunday,1,0,1.98,44,14,7,18,1,5
9652,2023-01-07 16:50:00,2,Katra,25.455,81.8463,53.0,40.76,120,58,4,58,Clear,Saturday,0,0,1.1,36,9,0,8,1,16
9426,2023-01-07 13:00:00,6,Allahabad Junction,25.4358,81.8307,119.0,35.13,120,60,3,57,Clear,Saturday,0,0,2.58,70,18,7,24,1,13
8129,2023-01-06 15:20:00,9,MNNIT Gate,25.492,81.8639,95.0,37.63,120,60,4,56,Clear,Friday,0,0,1.78,61,6,12,16,0,15
7141,2023-01-05 23:00:00,1,Civil Lines,25.4486,81.8333,21.0,47.47,120,59,6,55,Light Rain,Thursday,0,0,0.56,10,5,1,5,0,23
7464,2023-01-06 04:20:00,4,Tagore Town,25.4675,81.8867,129.0,33.76,120,47,5,68,Clear,Friday,0,3,2.38,79,11,11,28,0,4
9416,2023-01-07 12:50:00,6,Allahabad Junction,25.4358,81.8307,127.0,33.15,120,55,5,60,Clear,Saturday,0,0,2.62,76,15,11,25,1,12
2886,2023-01-03 00:00:00,6,Allahabad Junction,25.4358,81.8307,66.0,32.44,120,54,6,60,Light Rain,Tuesday,0,0,1.38,38,6,9,13,0,0
2359,2023-01-02 15:10:00,9,MNNIT Gate,25.492,81.8639,74.0,33.15,120,67,5,48,Cold Wave,Monday,0,0,1.82,43,14,5,12,0,15
4086,2023-01-03 20:00:00,6,Allahabad Junction,25.4358,81.8307,184.0,28.91,120,90,5,25,Clear,Tuesday,0,0,3.56,108,17,18,41,0,20
9987,2023-01-07 22:20:00,7,Phaphamau,25.4945,81.8686,64.0,39.45,120,63,4,53,Clear,Saturday,0,0,1.04,42,3,6,13,1,22
2889,2023-01-03 00:00:00,9,MNNIT Gate,25.492,81.8639,0.0,50.17,120,63,4,53,Light Rain,Tuesday,0,0,0.0,0,0,0,0,0,0
4980,2023-01-04 10:50:00,10,Minto Park,25.4352,81.882,282.0,22.19,120,77,5,38,Cold Wave,Wednesday,0,0,5.59,163,31,23,65,0,10
5895,2023-01-05 02:10:00,5,Naini Bridge,25.4088,81.8592,38.0,44.48,120,62,4,54,Clear,Thursday,0,0,0.84,23,3,7,5,0,2
33,2023-01-01 00:30:00,3,Chowk,25.4314,81.8437,58.0,40.57,120,67,7,46,Clear,Sunday,1,0,1.58,31,12,6,9,1,0
2759,2023-01-02 21:50:00,9,MNNIT Gate,25.492,81.8639,80.0,35.28,120,56,5,59,Clear,Monday,0,0,1.57,47,7,9,17,0,21
4813,2023-01-04 08:10:00,3,Chowk,25.4314,81.8437,227.0,26.04,120,85,4,31,Clear,Wednesday,0,0,5.19,126,25,35,41,0,8
6760,2023-01-05 16:30:00,10,Minto Park,25.4352,81.882,53.0,41.08,120,52,4,64,Clear,Thursday,0,0,0.96,30,4,5,14,0,16
6074,2023-01-05 05:10:00,4,Tagore Town,25.4675,81.8867,35.0,45.98,120,55,5,60,Clear,Thursday,0,0,0.65,23,3,11,6,0,5
9114,2023-01-07 07:50:00,4,Tagore Town,25.4675,81.8867,209.0,27.27,120,84,5,31,Clear,Saturday,0,0,3.79,124,12,26,47,1,7
3807,2023-01-03 15:20:00,7,Phaphamau,25.4945,81.8686,81.0,38.34,120,58,5,57,Clear,Tuesday,0,0,1.83,47,12,7,15,0,15
2319,2023-01-02 14:30:00,9,MNNIT Gate,25.492,81.8639,110.0,29.25,120,60,6,54,Clear,Monday,0,0,2.1,65,9,12,24,0,14
3073,2023-01-03 03:10:00,3,Chowk,25.4314,81.8437,146.0,30.91,120,70,5,45,Clear,Tuesday,0,0,2.86,83,13,16,34,0,3
6637,2023-01-05 14:30:00,7,Phaphamau,25.4945,81.8686,66.0,36.6,120,65,6,49,Clear,Thursday,0,0,1.37,43,7,7,9,0,14
10017,2023-01-07 22:50:00,7,Phaphamau,25.4945,81.8686,68.0,41.09,120,60,3,57,Clear,Saturday,0,0,1.34,42,7,6,13,1,22
2581,2023-01-02 19:00:00,1,Civil Lines,25.4486,81.8333,201.0,27.21,120,82,6,32,Clear,Monday,0,0,4.49,119,24,25,33,0,19
9561,2023-01-07 15:20:00,1,Civil Lines,25.4486,81.8333,55.0,43.88,120,59,5,56,Clear,Saturday,0,0,0.9,34,4,3,14,1,15
5318,2023-01-04 16:30:00,8,Jhunsi,25.4326,81.9061,102.0,33.55,120,71,4,45,Clear,Wednesday,0,0,2.27,56,12,13,21,0,16
3771,2023-01-03 14:50:00,1,Civil Lines,25.4486,81.8333,152.0,26.72,120,78,4,38,Clear,Tuesday,0,0,2.55,94,8,15,35,0,14
5061,2023-01-04 12:20:00,1,Civil Lines,25.4486,81.8333,92.0,34.28,120,60,5,55,Heatwave,Wednesday,0,0,2.08,47,12,11,22,0,12
5632,2023-01-04 21:50:00,2,Katra,25.455,81.8463,83.0,39.54,120,55,4,51,Clear,Wednesday,0,0,1.61,44,8,8,23,0,21
5180,2023-01-04 14:10:00,10,Minto Park,25.4352,81.882,52.0,34.88,120,63,5,52,Fog,Wednesday,0,0,1.12,35,7,4,6,0,14
6557,2023-01-05 13:10:00,7,Phaphamau,25.4945,81.8686,46.0,20.01,120,66,5,49,Clear,Thursday,0,2,1.02,29,7,3,7,0,13
2506,2023-01-02 17:40:00,6,Allahabad Junction,25.4358,81.8307,209.0,25.29,120,79,6,35,Clear,Monday,0,0,3.64,129,14,19,47,0,17
208,2023-01-01 03:20:00,8,Jhunsi,25.4326,81.9061,58.0,40.82,120,56,5,59,Clear,Sunday,1,0,0.93,41,2,6,9,1,3
8801,2023-01-07 02:40:00,1,Civil Lines,25.4486,81.8333,153.0,13.07,120,85,5,30,Fog,Saturday,0,4,3.02,95,11,11,26,1,2
1308,2023-01-01 21:40:00,8,Jhunsi,25.4326,81.9061,42.0,46.27,120,59,5,56,Clear,Sunday,1,0,0.83,23,3,6,10,1,21
2999,2023-01-03 01:50:00,9,MNNIT Gate,25.492,81.8639,55.0,42.07,120,66,5,49,Clear,Tuesday,0,0,0.9,30,3,5,17,0,1
7224,2023-01-06 00:20:00,4,Tagore Town,25.4675,81.8867,125.0,33.60973357553739,120,59,4,57,Clear,Friday,0,3,2.77,66,14,17,28,0,0
3556,2023-01-03 11:10:00,6,Allahabad Junction,25.4358,81.8307,128.0,32.86,120,66,3,51,Clear,Tuesday,0,0,1.7,96,3,7,22,0,11
8524,2023-01-06 22:00:00,4,Tagore Town,25.4675,81.8867,75.0,29.76,120,76,6,38,Heavy Rain,Friday,0,3,1.27,47,5,6,17,0,22
6793,2023-01-05 17:10:00,3,Chowk,25.4314,81.8437,143.0,27.79,120,63,5,52,Clear,Thursday,0,0,3.05,77,17,15,34,0,17
5038,2023-01-04 11:50:00,8,Jhunsi,25.4326,81.9061,120.0,31.52,120,49,5,66,Clear,Wednesday,0,0,2.3,71,10,13,26,0,11
2402,2023-01-02 16:00:00,2,Katra,25.455,81.8463,84.0,37.78,120,58,5,57,Clear,Monday,0,0,2.2562285136501514,49,12,7,16,0,16
2763,2023-01-02 22:00:00,3,Chowk,25.4314,81.8437,102.0,30.11,120,65,4,51,Cold Wave,Monday,0,0,2.28,56,14,10,22,0,22
5909,2023-01-05 02:20:00,9,MNNIT Gate,25.492,81.8639,64.0,43.04,120,55,6,59,Clear,Thursday,0,0,1.42,40,8,7,9,0,2
8020,2023-01-06 13:30:00,10,Minto Park,25.4352,81.882,40.0,46.49,120,55,7,58,Clear,Friday,0,0,0.87,26,5,4,5,0,13
7839,2023-01-06 10:30:00,9,MNNIT Gate,25.492,81.8639,197.0,24.4,120,75,5,40,Clear,Friday,0,0,3.39,120,12,19,46,0,10
4511,2023-01-04 03:10:00,1,Civil Lines,25.4486,81.8333,50.0,42.35,120,67,6,47,Clear,Wednesday,0,0,1.06,30,4,8,8,0,3
7603,2023-01-06 06:40:00,3,Chowk,25.4314,81.8437,51.0,41.02,120,56,3,61,Clear,Friday,0,3,1.06,30,7,3,11,0,6
5716,2023-01-04 23:10:00,6,Allahabad Junction,25.4358,81.8307,96.0,33.79,120,52,3,65,Heatwave,Wednesday,0,0,2.2,60,14,9,13,0,23
1003,2023-01-01 16:40:00,3,Chowk,25.4314,81.8437,45.0,39.87,120,57,3,60,Clear,Sunday,1,0,0.96,27,7,2,9,1,16
9602,2023-01-07 16:00:00,2,Katra,25.455,81.8463,92.0,40.69,120,65,4,51,Clear,Saturday,0,0,2.09,55,13,9,15,1,16
